,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
242,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,38041757.0,Asia
243,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,38041757.0,Asia
244,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,38041757.0,Asia
245,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,38041757.0,Asia
246,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,38041757.0,Asia
247,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,38041757.0,Asia
248,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
249,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,38041757.0,Asia
250,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,38041757.0,Asia
251,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia
252,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,38041757.0,Asia
253,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,38041757.0,Asia
254,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
255,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,38041757.0,Asia
256,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,38041757.0,Asia
257,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,38041757.0,Asia
258,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,38041757.0,Asia
259,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,38041757.0,Asia
260,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,38041757.0,Asia
261,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,38041757.0,Asia
262,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
263,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,38041757.0,Asia
264,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
265,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,38041757.0,Asia
